domain_token_count,tld,urlLen,domainlength,fileNameLen,pathurlRatio,NumberofDotsinURL,Query_DigitCount,LongestPathTokenLength,delimeter_Domain,delimeter_path,SymbolCount_Domain,Entropy_Domain,class
19.00000,19.00000,168.00000,121.00000,2.00000,0.23810,18.00000,-1.00000,32.00000,1.00000,0.00000,18.00000,0.61232,phishing
15.00000,15.00000,199.00000,121.00000,5.00000,0.35678,15.00000,-1.00000,32.00000,0.00000,3.00000,14.00000,0.63250,phishing
15.00000,15.00000,199.00000,121.00000,5.00000,0.35678,15.00000,-1.00000,32.00000,0.00000,3.00000,14.00000,0.63250,phishing
14.00000,14.00000,88.00000,80.00000,2.00000,0.01136,13.00000,-1.00000,0.00000,0.00000,0.00000,13.00000,0.65863,phishing
13.00000,13.00000,182.00000,125.00000,5.00000,0.27473,13.00000,-1.00000,7.00000,0.00000,1.00000,12.00000,0.70460,phishing
13.00000,13.00000,214.00000,173.00000,2.00000,0.15888,12.00000,-1.00000,32.00000,1.00000,0.00000,12.00000,0.56191,phishing
12.00000,12.00000,243.00000,226.00000,2.00000,0.04115,11.00000,-1.00000,8.00000,0.00000,0.00000,11.00000,0.63367,phishing
11.00000,11.00000,244.00000,227.00000,2.00000,0.04098,10.00000,-1.00000,8.00000,0.00000,0.00000,10.00000,0.64445,phishing
11.00000,11.00000,244.00000,227.00000,2.00000,0.04098,10.00000,-1.00000,8.00000,0.00000,0.00000,10.00000,0.64309,phishing
11.00000,11.00000,244.00000,227.00000,2.00000,0.04098,10.00000,-1.00000,8.00000,0.00000,0.00000,10.00000,0.64120,phishing
10.00000,10.00000,147.00000,73.00000,2.00000,0.45578,10.00000,-1.00000,32.00000,4.00000,3.00000,9.00000,0.73593,phishing
10.00000,10.00000,165.00000,77.00000,2.00000,0.49091,9.00000,-1.00000,32.00000,0.00000,0.00000,9.00000,0.71344,phishing
10.00000,10.00000,165.00000,77.00000,2.00000,0.49091,9.00000,-1.00000,32.00000,0.00000,0.00000,9.00000,0.71344,phishing
10.00000,10.00000,165.00000,77.00000,2.00000,0.49091,9.00000,-1.00000,32.00000,0.00000,0.00000,9.00000,0.71344,phishing
10.00000,10.00000,165.00000,77.00000,2.00000,0.49091,9.00000,-1.00000,32.00000,0.00000,0.00000,9.00000,0.71344,phishing
10.00000,10.00000,165.00000,77.00000,2.00000,0.49091,9.00000,-1.00000,32.00000,0.00000,0.00000,9.00000,0.71344,phishing
10.00000,10.00000,165.00000,77.00000,2.00000,0.49091,9.00000,-1.00000,32.00000,0.00000,0.00000,9.00000,0.71344,phishing
10.00000,10.00000,165.00000,77.00000,2.00000,0.49091,9.00000,-1.00000,32.00000,0.00000,0.00000,9.00000,0.71344,phishing
10.00000,10.00000,139.00000,77.00000,2.00000,0.39568,9.00000,-1.00000,32.00000,0.00000,0.00000,9.00000,0.71344,phishing
10.00000,10.00000,159.00000,96.00000,2.00000,0.35220,11.00000,-1.00000,32.00000,1.00000,2.00000,9.00000,0.68035,phishing
10.00000,10.00000,176.00000,152.00000,6.00000,0.09659,10.00000,-1.00000,6.00000,10.00000,1.00000,9.00000,0.61712,phishing
9.00000,9.00000,92.00000,51.00000,2.00000,0.36957,8.00000,-1.00000,32.00000,0.00000,0.00000,8.00000,0.70847,phishing
9.00000,9.00000,58.00000,51.00000,2.00000,0.00000,8.00000,-1.00000,0.00000,0.00000,0.00000,8.00000,0.70847,phishing
9.00000,9.00000,146.00000,138.00000,2.00000,0.00685,8.00000,-1.00000,0.00000,5.00000,0.00000,8.00000,0.64736,phishing
8.00000,8.00000,63.00000,45.00000,2.00000,0.17460,7.00000,-1.00000,5.00000,0.00000,0.00000,7.00000,0.78794,phishing
8.00000,8.00000,70.00000,62.00000,2.00000,0.01429,7.00000,-1.00000,0.00000,0.00000,0.00000,7.00000,0.78147,phishing
8.00000,8.00000,63.00000,45.00000,2.00000,0.17460,7.00000,-1.00000,5.00000,0.00000,0.00000,7.00000,0.77985,phishing
8.00000,8.00000,63.00000,45.00000,2.00000,0.17460,7.00000,-1.00000,5.00000,0.00000,0.00000,7.00000,0.77985,phishing
8.00000,8.00000,63.00000,45.00000,2.00000,0.17460,7.00000,-1.00000,5.00000,0.00000,0.00000,7.00000,0.77985,phishing
8.00000,8.00000,63.00000,45.00000,2.00000,0.17460,7.00000,-1.00000,5.00000,0.00000,0.00000,7.00000,0.77985,phishing
8.00000,8.00000,63.00000,45.00000,2.00000,0.17460,7.00000,-1.00000,5.00000,0.00000,0.00000,7.00000,0.77985,phishing
8.00000,8.00000,59.00000,45.00000,2.00000,0.11864,7.00000,-1.00000,5.00000,0.00000,0.00000,7.00000,0.77680,phishing
8.00000,8.00000,53.00000,45.00000,2.00000,0.01887,7.00000,-1.00000,0.00000,0.00000,0.00000,7.00000,0.77680,phishing
8.00000,8.00000,53.00000,45.00000,2.00000,0.01887,7.00000,-1.00000,0.00000,0.00000,0.00000,7.00000,0.77680,phishing
8.00000,8.00000,53.00000,45.00000,2.00000,0.01887,7.00000,-1.00000,0.00000,0.00000,0.00000,7.00000,0.77680,phishing
8.00000,8.00000,53.00000,45.00000,2.00000,0.01887,7.00000,-1.00000,0.00000,0.00000,0.00000,7.00000,0.77680,phishing
8.00000,8.00000,53.00000,45.00000,2.00000,0.01887,7.00000,-1.00000,0.00000,0.00000,0.00000,7.00000,0.77680,phishing
8.00000,8.00000,53.00000,45.00000,2.00000,0.01887,7.00000,-1.00000,0.00000,0.00000,0.00000,7.00000,0.77680,phishing
8.00000,8.00000,62.00000,46.00000,2.00000,0.14516,7.00000,-1.00000,3.00000,0.00000,0.00000,7.00000,0.77464,phishing
8.00000,8.00000,62.00000,46.00000,2.00000,0.14516,7.00000,-1.00000,3.00000,0.00000,0.00000,7.00000,0.77464,phishing
8.00000,8.00000,62.00000,46.00000,2.00000,0.14516,7.00000,-1.00000,3.00000,0.00000,0.00000,7.00000,0.77464,phishing
8.00000,8.00000,63.00000,45.00000,2.00000,0.17460,7.00000,-1.00000,5.00000,0.00000,0.00000,7.00000,0.77176,phishing
8.00000,8.00000,63.00000,45.00000,2.00000,0.17460,7.00000,-1.00000,5.00000,0.00000,0.00000,7.00000,0.77176,phishing
